2021-07-03 20:22:48,690 INFO     Search BICs for /tmp/Collections-27b/
2021-07-03 20:22:50,879 DEBUG                  - depth 3, hash fd3dc7c, HEAD~1052
2021-07-03 20:22:50,883 DEBUG                  - depth 4, hash c9a3090, HEAD~1406
2021-07-03 20:22:50,887 DEBUG                  - depth 5, hash 9072508, HEAD~1417
2021-07-03 20:22:50,892 DEBUG                  - depth 6, hash e297d23, HEAD~1422
2021-07-03 20:22:50,896 DEBUG    [line range] org/apache/commons/collections4/map/MultiValueMap.java readObject 176:180
2021-07-03 20:22:51,025 DEBUG                  - depth 0, hash 810250d, HEAD~361
2021-07-03 20:22:51,030 DEBUG                  - depth 1, hash 9aea104, HEAD~643
2021-07-03 20:22:51,034 DEBUG                  - depth 2, hash 2d69bd5, HEAD~882
2021-07-03 20:22:51,038 DEBUG                  - depth 3, hash e6d4f46, HEAD~1206
2021-07-03 20:22:51,043 DEBUG    [line range] org/apache/commons/collections4/map/MultiValueMap.java writeObject 163:166
2021-07-03 20:22:51,175 DEBUG                  - depth 0, hash 9aea104, HEAD~643
2021-07-03 20:22:51,181 DEBUG                  - depth 1, hash e6d4f46, HEAD~1206
2021-07-03 20:22:51,185 DEBUG    [line range] org/apache/commons/collections4/map/MultiValueMap.java <init> 548:550
2021-07-03 20:22:51,314 DEBUG                  - depth 0, hash 9aea104, HEAD~643
2021-07-03 20:22:51,320 DEBUG                  - depth 1, hash fd3dc7c, HEAD~1052
2021-07-03 20:22:51,324 DEBUG                  - depth 2, hash c9a3090, HEAD~1406
2021-07-03 20:22:51,328 DEBUG                  - depth 3, hash 9072508, HEAD~1417
2021-07-03 20:22:51,332 DEBUG                  - depth 4, hash e297d23, HEAD~1422
2021-07-03 20:22:51,336 INFO     The number of BIC candidates: 20
