2021-07-03 20:19:50,807 INFO     Search BICs for /tmp/Collections-25b/
2021-07-03 20:19:54,212 DEBUG                  - depth 5, hash 32487bf, HEAD~2473
2021-07-03 20:19:54,216 DEBUG    [line range] org/apache/commons/collections4/iterators/CollatingIterator.java next 247:259
2021-07-03 20:19:54,346 DEBUG                  - depth 0, hash 9aea104, HEAD~600
2021-07-03 20:19:54,351 DEBUG                  - depth 1, hash d16bc85, HEAD~1085
2021-07-03 20:19:54,355 DEBUG                  - depth 2, hash 1088244, HEAD~2019
2021-07-03 20:19:54,359 DEBUG                  - depth 3, hash 32487bf, HEAD~2473
2021-07-03 20:19:54,363 DEBUG    [line range] org/apache/commons/collections4/iterators/CollatingIterator.java set 313:323
2021-07-03 20:19:54,493 DEBUG                  - depth 0, hash 9aea104, HEAD~600
2021-07-03 20:19:54,498 DEBUG                  - depth 1, hash d16bc85, HEAD~1085
2021-07-03 20:19:54,502 DEBUG                  - depth 2, hash 1088244, HEAD~2019
2021-07-03 20:19:54,506 DEBUG                  - depth 3, hash 32487bf, HEAD~2473
2021-07-03 20:19:54,510 DEBUG    [line range] org/apache/commons/collections4/iterators/CollatingIterator.java setComparator 224:227
2021-07-03 20:19:54,640 DEBUG                  - depth 0, hash d16bc85, HEAD~1085
2021-07-03 20:19:54,646 DEBUG                  - depth 1, hash 1088244, HEAD~2019
2021-07-03 20:19:54,650 DEBUG                  - depth 2, hash 2d1bbdb, HEAD~2471
2021-07-03 20:19:54,654 DEBUG                  - depth 3, hash 32487bf, HEAD~2473
2021-07-03 20:19:54,658 DEBUG    [line range] org/apache/commons/collections4/iterators/CollatingIterator.java start 294:303
2021-07-03 20:19:54,787 DEBUG                  - depth 0, hash d16bc85, HEAD~1085
2021-07-03 20:19:54,792 DEBUG                  - depth 1, hash 1088244, HEAD~2019
2021-07-03 20:19:54,796 DEBUG                  - depth 2, hash 32487bf, HEAD~2473
2021-07-03 20:19:55,083 DEBUG    [line range] org/apache/commons/collections4/iterators/EmptyIterator.java <clinit> 39:40
2021-07-03 20:19:55,209 DEBUG                  - depth 0, hash 35d4fd2, HEAD~134
2021-07-03 20:19:55,214 DEBUG                  - depth 1, hash d16bc85, HEAD~1085
2021-07-03 20:19:55,218 DEBUG                  - depth 2, hash 79816f8, HEAD~1494
2021-07-03 20:19:55,223 DEBUG    [line range] org/apache/commons/collections4/iterators/EmptyIterator.java <init> 72:74
2021-07-03 20:19:55,350 DEBUG                  - depth 0, hash 79816f8, HEAD~1494
2021-07-03 20:19:55,627 DEBUG    [line range] org/apache/commons/collections4/iterators/EmptyListIterator.java <clinit> 40:41
2021-07-03 20:19:55,754 DEBUG                  - depth 0, hash 35d4fd2, HEAD~134
2021-07-03 20:19:55,760 DEBUG                  - depth 1, hash d16bc85, HEAD~1085
2021-07-03 20:19:55,764 DEBUG                  - depth 2, hash 79816f8, HEAD~1494
2021-07-03 20:19:55,768 DEBUG    [line range] org/apache/commons/collections4/iterators/EmptyListIterator.java <init> 73:75
2021-07-03 20:19:55,897 DEBUG                  - depth 0, hash 79816f8, HEAD~1494
2021-07-03 20:19:56,182 DEBUG    [line range] org/apache/commons/collections4/iterators/EmptyMapIterator.java <clinit> 35:36
2021-07-03 20:19:56,306 DEBUG                  - depth 0, hash 35d4fd2, HEAD~134
2021-07-03 20:19:56,311 DEBUG                  - depth 1, hash d16bc85, HEAD~1085
2021-07-03 20:19:56,316 DEBUG                  - depth 2, hash 79816f8, HEAD~1494
2021-07-03 20:19:56,320 DEBUG    [line range] org/apache/commons/collections4/iterators/EmptyMapIterator.java <init> 52:54
2021-07-03 20:19:56,443 DEBUG                  - depth 0, hash 79816f8, HEAD~1494
2021-07-03 20:19:56,728 DEBUG    [line range] org/apache/commons/collections4/iterators/EmptyOrderedIterator.java <clinit> 35:36
2021-07-03 20:19:56,852 DEBUG                  - depth 0, hash 35d4fd2, HEAD~134
2021-07-03 20:19:56,857 DEBUG                  - depth 1, hash d16bc85, HEAD~1085
2021-07-03 20:19:56,861 DEBUG                  - depth 2, hash a04f82b, HEAD~1490
2021-07-03 20:19:56,865 DEBUG    [line range] org/apache/commons/collections4/iterators/EmptyOrderedIterator.java <init> 51:53
2021-07-03 20:19:56,989 DEBUG                  - depth 0, hash a04f82b, HEAD~1490
2021-07-03 20:19:57,274 DEBUG    [line range] org/apache/commons/collections4/iterators/EmptyOrderedMapIterator.java <clinit> 35:36
2021-07-03 20:19:57,397 DEBUG                  - depth 0, hash 35d4fd2, HEAD~134
2021-07-03 20:19:57,403 DEBUG                  - depth 1, hash d16bc85, HEAD~1085
2021-07-03 20:19:57,407 DEBUG                  - depth 2, hash 79816f8, HEAD~1494
2021-07-03 20:19:57,411 DEBUG    [line range] org/apache/commons/collections4/iterators/EmptyOrderedMapIterator.java <init> 52:54
2021-07-03 20:19:57,536 DEBUG                  - depth 0, hash 79816f8, HEAD~1494
2021-07-03 20:19:57,542 INFO     The number of BIC candidates: 21
