2021-07-04 04:57:17,416 INFO     Search BICs for /tmp/JacksonXml-6b/
2021-07-04 04:57:18,032 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java findRootName 69:83
2021-07-04 04:57:18,056 DEBUG                  - depth 0, hash c95e6bf, HEAD~621
2021-07-04 04:57:18,062 DEBUG                  - depth 1, hash 7343f94, HEAD~622
2021-07-04 04:57:18,066 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java findWrapperName 44:67
2021-07-04 04:57:18,091 DEBUG                  - depth 0, hash 09f05a5, HEAD~613
2021-07-04 04:57:18,096 DEBUG                  - depth 1, hash 4b5c9b7, HEAD~614
2021-07-04 04:57:18,100 DEBUG                  - depth 2, hash c95e6bf, HEAD~621
2021-07-04 04:57:18,104 DEBUG                  - depth 3, hash 7343f94, HEAD~622
2021-07-04 04:57:18,108 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java isOutputAsAttribute 107:115
2021-07-04 04:57:18,133 DEBUG                  - depth 0, hash 754187e, HEAD~672
2021-07-04 04:57:18,139 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java isOutputAsCData 127:134
2021-07-04 04:57:18,163 DEBUG                  - depth 0, hash edf7a8b, HEAD~360
2021-07-04 04:57:18,168 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java isOutputAsText 117:125
2021-07-04 04:57:18,193 DEBUG                  - depth 0, hash 2b21a9e, HEAD~539
2021-07-04 04:57:18,198 DEBUG                  - depth 1, hash 754187e, HEAD~672
2021-07-04 04:57:18,502 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlModule.java <init> 31:31
2021-07-04 04:57:18,526 DEBUG                  - depth 0, hash 75e1bac, HEAD~610
2021-07-04 04:57:18,531 DEBUG                  - depth 1, hash 4b5c9b7, HEAD~614
2021-07-04 04:57:18,536 DEBUG                  - depth 2, hash 76f1154, HEAD~713
2021-07-04 04:57:18,540 DEBUG                  - depth 3, hash 6e8939a, HEAD~760
2021-07-04 04:57:18,544 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlModule.java _constructIntrospector 125:127
2021-07-04 04:57:18,567 DEBUG                  - depth 0, hash faa84af, HEAD~363
2021-07-04 04:57:18,573 DEBUG                  - depth 1, hash 75e1bac, HEAD~610
2021-07-04 04:57:18,577 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlModule.java setupModule 57:76
2021-07-04 04:57:18,602 DEBUG                  - depth 0, hash 656e965, HEAD~30
2021-07-04 04:57:18,607 DEBUG                  - depth 1, hash a118918, HEAD~574
2021-07-04 04:57:18,611 DEBUG                  - depth 2, hash 3bb8b8a, HEAD~587
2021-07-04 04:57:18,615 DEBUG                  - depth 3, hash 75e1bac, HEAD~610
2021-07-04 04:57:18,619 DEBUG                  - depth 4, hash e88829a, HEAD~682
2021-07-04 04:57:18,623 DEBUG                  - depth 5, hash 3800d1a, HEAD~752
2021-07-04 04:57:18,627 DEBUG                  - depth 6, hash eb0d220, HEAD~755
2021-07-04 04:57:18,631 DEBUG                  - depth 7, hash 6e8939a, HEAD~760
2021-07-04 04:57:18,909 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/PackageVersion.java <clinit> 13:14
2021-07-04 04:57:19,332 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/XmlFactory.java <clinit> 43:43
2021-07-04 04:57:19,360 DEBUG                  - depth 0, hash ac97422, HEAD~770
2021-07-04 04:57:19,365 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/XmlFactory.java <init> 84:84
2021-07-04 04:57:19,393 DEBUG                  - depth 0, hash bf64350, HEAD~388
2021-07-04 04:57:19,398 DEBUG                  - depth 1, hash ac97422, HEAD~770
2021-07-04 04:57:19,403 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/XmlFactory.java <init> 104:125
2021-07-04 04:57:19,429 DEBUG                  - depth 0, hash eeff2c3, HEAD~134
2021-07-04 04:57:19,435 DEBUG                  - depth 1, hash f0f19a4, HEAD~191
2021-07-04 04:57:19,439 DEBUG                  - depth 2, hash 80b056c, HEAD~560
2021-07-04 04:57:19,443 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/XmlFactory.java <init> 98:102
2021-07-04 04:57:19,472 DEBUG                  - depth 0, hash 4b49375, HEAD~515
2021-07-04 04:57:19,477 DEBUG                  - depth 1, hash 9b177dd, HEAD~586
2021-07-04 04:57:19,481 DEBUG                  - depth 2, hash ac97422, HEAD~770
2021-07-04 04:57:19,485 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/XmlFactory.java _createXmlWriter 626:635
2021-07-04 04:57:19,514 DEBUG                  - depth 0, hash d2f70a0, HEAD~52
2021-07-04 04:57:19,519 DEBUG                  - depth 1, hash 06c4283, HEAD~54
2021-07-04 04:57:19,523 DEBUG                  - depth 2, hash ac97422, HEAD~770
2021-07-04 04:57:19,528 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/XmlFactory.java _initFactories 140:146
2021-07-04 04:57:19,556 DEBUG                  - depth 0, hash 9b177dd, HEAD~586
2021-07-04 04:57:19,561 DEBUG                  - depth 1, hash 57fbffd, HEAD~628
2021-07-04 04:57:19,565 DEBUG                  - depth 2, hash ac97422, HEAD~770
2021-07-04 04:57:19,570 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/XmlFactory.java _initializeXmlWriter 637:647
2021-07-04 04:57:19,598 DEBUG                  - depth 0, hash d2f70a0, HEAD~52
2021-07-04 04:57:19,603 DEBUG                  - depth 1, hash 06c4283, HEAD~54
2021-07-04 04:57:19,608 DEBUG                  - depth 2, hash ac97422, HEAD~770
2021-07-04 04:57:19,612 DEBUG    [single line]   com/fasterxml/jackson/dataformat/xml/XmlFactory.java copy 29
2021-07-04 04:57:19,640 DEBUG                  - depth 0, hash ac97422, HEAD~770
2021-07-04 04:57:19,646 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/XmlFactory.java createGenerator 458:464
2021-07-04 04:57:19,673 DEBUG                  - depth 0, hash 8377ad8, HEAD~642
2021-07-04 04:57:19,679 DEBUG                  - depth 1, hash b1cce7c, HEAD~645
2021-07-04 04:57:20,019 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/XmlMapper.java <clinit> 35:35
2021-07-04 04:57:20,044 DEBUG                  - depth 0, hash a1dfe97, HEAD~609
2021-07-04 04:57:20,050 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/XmlMapper.java <init> 48:50
2021-07-04 04:57:20,074 DEBUG                  - depth 0, hash a1dfe97, HEAD~609
2021-07-04 04:57:20,080 DEBUG                  - depth 1, hash ac97422, HEAD~770
2021-07-04 04:57:20,084 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/XmlMapper.java <init> 66:68
2021-07-04 04:57:20,109 DEBUG                  - depth 0, hash a1dfe97, HEAD~609
2021-07-04 04:57:20,114 DEBUG                  - depth 1, hash ac97422, HEAD~770
2021-07-04 04:57:20,119 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/XmlMapper.java <init> 74:90
2021-07-04 04:57:20,144 DEBUG                  - depth 0, hash 95e4b9a, HEAD~60
2021-07-04 04:57:20,150 DEBUG                  - depth 1, hash 7c7e8c9, HEAD~303
2021-07-04 04:57:20,154 DEBUG                  - depth 2, hash a1dfe97, HEAD~609
2021-07-04 04:57:20,158 DEBUG                  - depth 3, hash 6e8939a, HEAD~760
2021-07-04 04:57:20,162 DEBUG                  - depth 4, hash ac97422, HEAD~770
2021-07-04 04:57:20,569 DEBUG    [single line]   com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java <clinit> 37
2021-07-04 04:57:20,599 DEBUG                  - depth 0, hash 662d9d4, HEAD~299
2021-07-04 04:57:20,604 DEBUG                  - depth 1, hash ac97422, HEAD~770
2021-07-04 04:57:20,609 DEBUG    [single line]   com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java <clinit> 50
2021-07-04 04:57:20,634 DEBUG                  - depth 0, hash 95e4b9a, HEAD~60
2021-07-04 04:57:20,639 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java <init> 71:74
2021-07-04 04:57:20,669 DEBUG                  - depth 0, hash ac97422, HEAD~770
2021-07-04 04:57:20,675 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java collectDefaults 60:69
2021-07-04 04:57:20,704 DEBUG                  - depth 0, hash ac97422, HEAD~770
2021-07-04 04:57:20,710 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java enabledByDefault 76:76
2021-07-04 04:57:20,739 DEBUG                  - depth 0, hash 662d9d4, HEAD~299
2021-07-04 04:57:20,744 DEBUG                  - depth 1, hash ac97422, HEAD~770
2021-07-04 04:57:20,749 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java getMask 77:77
2021-07-04 04:57:20,778 DEBUG                  - depth 0, hash 662d9d4, HEAD~299
2021-07-04 04:57:20,783 DEBUG                  - depth 1, hash ac97422, HEAD~770
2021-07-04 04:57:21,114 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/deser/XmlBeanDeserializerModifier.java <init> 24:24
2021-07-04 04:57:21,137 DEBUG                  - depth 0, hash 3bb8b8a, HEAD~587
2021-07-04 04:57:21,436 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/deser/XmlStringDeserializer.java <init> 23:23
2021-07-04 04:57:21,459 DEBUG                  - depth 0, hash 656e965, HEAD~30
2021-07-04 04:57:21,902 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java <init> 138:138
2021-07-04 04:57:21,932 DEBUG                  - depth 0, hash ac97422, HEAD~770
2021-07-04 04:57:21,938 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java _handleStartObject 530:542
2021-07-04 04:57:21,968 DEBUG                  - depth 0, hash d2f70a0, HEAD~52
2021-07-04 04:57:21,973 DEBUG                  - depth 1, hash 06c4283, HEAD~54
2021-07-04 04:57:21,977 DEBUG                  - depth 2, hash 6a130da, HEAD~324
2021-07-04 04:57:21,981 DEBUG                  - depth 3, hash ac97422, HEAD~770
2021-07-04 04:57:21,986 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java _verifyValueWrite 1123:1130
2021-07-04 04:57:22,015 DEBUG                  - depth 0, hash 6a130da, HEAD~324
2021-07-04 04:57:22,021 DEBUG                  - depth 1, hash ac97422, HEAD~770
2021-07-04 04:57:22,025 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java close 1150:1190
2021-07-04 04:57:22,055 DEBUG                  - depth 0, hash d2f70a0, HEAD~52
2021-07-04 04:57:22,061 DEBUG                  - depth 1, hash 06c4283, HEAD~54
2021-07-04 04:57:22,065 DEBUG                  - depth 2, hash ca1c671, HEAD~179
2021-07-04 04:57:22,069 DEBUG                  - depth 3, hash 2d6da71, HEAD~217
2021-07-04 04:57:22,073 DEBUG                  - depth 4, hash bf64350, HEAD~388
2021-07-04 04:57:22,077 DEBUG                  - depth 5, hash ac97422, HEAD~770
2021-07-04 04:57:22,081 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java initGenerator 189:213
2021-07-04 04:57:22,112 DEBUG                  - depth 0, hash d2f70a0, HEAD~52
2021-07-04 04:57:22,118 DEBUG                  - depth 1, hash 06c4283, HEAD~54
2021-07-04 04:57:22,122 DEBUG                  - depth 2, hash 471b123, HEAD~255
2021-07-04 04:57:22,126 DEBUG                  - depth 3, hash 6a130da, HEAD~324
2021-07-04 04:57:22,130 DEBUG                  - depth 4, hash dc86380, HEAD~528
2021-07-04 04:57:22,134 DEBUG                  - depth 5, hash ac97422, HEAD~770
2021-07-04 04:57:22,138 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java setNextIsAttribute 330:333
2021-07-04 04:57:22,167 DEBUG                  - depth 0, hash ac97422, HEAD~770
2021-07-04 04:57:22,173 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java setNextName 345:348
2021-07-04 04:57:22,202 DEBUG                  - depth 0, hash ac97422, HEAD~770
2021-07-04 04:57:22,208 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java setNextNameIfMissing 356:363
2021-07-04 04:57:22,236 DEBUG                  - depth 0, hash e11f6cb, HEAD~562
2021-07-04 04:57:22,242 DEBUG                  - depth 1, hash 0ad0c49, HEAD~563
2021-07-04 04:57:22,246 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java writeFieldName 574:578
2021-07-04 04:57:22,276 DEBUG                  - depth 0, hash 6a130da, HEAD~324
2021-07-04 04:57:22,281 DEBUG                  - depth 1, hash 76f1154, HEAD~713
2021-07-04 04:57:22,285 DEBUG                  - depth 2, hash ac97422, HEAD~770
2021-07-04 04:57:22,290 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java writeFieldName 431:440
2021-07-04 04:57:22,320 DEBUG                  - depth 0, hash 471b123, HEAD~255
2021-07-04 04:57:22,325 DEBUG                  - depth 1, hash 6a130da, HEAD~324
2021-07-04 04:57:22,329 DEBUG                  - depth 2, hash ac97422, HEAD~770
2021-07-04 04:57:22,334 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java writeStartObject 501:511
2021-07-04 04:57:22,364 DEBUG                  - depth 0, hash 6a130da, HEAD~324
2021-07-04 04:57:22,369 DEBUG                  - depth 1, hash ac97422, HEAD~770
2021-07-04 04:57:22,373 DEBUG    [single line]   com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java <clinit> 42
2021-07-04 04:57:22,403 DEBUG                  - depth 0, hash 662d9d4, HEAD~299
2021-07-04 04:57:22,409 DEBUG                  - depth 1, hash ac97422, HEAD~770
2021-07-04 04:57:22,413 DEBUG    [single line]   com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java <clinit> 48
2021-07-04 04:57:22,442 DEBUG                  - depth 0, hash ac97422, HEAD~770
2021-07-04 04:57:22,448 DEBUG    [single line]   com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java <clinit> 59
2021-07-04 04:57:22,477 DEBUG                  - depth 0, hash ac97422, HEAD~770
2021-07-04 04:57:22,482 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java <init> 80:83
2021-07-04 04:57:22,512 DEBUG                  - depth 0, hash ac97422, HEAD~770
2021-07-04 04:57:22,517 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java collectDefaults 69:78
2021-07-04 04:57:22,547 DEBUG                  - depth 0, hash ac97422, HEAD~770
2021-07-04 04:57:22,552 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java enabledByDefault 85:85
2021-07-04 04:57:22,582 DEBUG                  - depth 0, hash 662d9d4, HEAD~299
2021-07-04 04:57:22,587 DEBUG                  - depth 1, hash ac97422, HEAD~770
2021-07-04 04:57:22,591 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java enabledIn 87:87
2021-07-04 04:57:22,621 DEBUG                  - depth 0, hash 662d9d4, HEAD~299
2021-07-04 04:57:22,626 DEBUG                  - depth 1, hash ac97422, HEAD~770
2021-07-04 04:57:22,631 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java getMask 86:86
2021-07-04 04:57:22,660 DEBUG                  - depth 0, hash 662d9d4, HEAD~299
2021-07-04 04:57:22,666 DEBUG                  - depth 1, hash ac97422, HEAD~770
2021-07-04 04:57:22,976 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/XmlBeanSerializer.java <init> 30:32
2021-07-04 04:57:23,002 DEBUG                  - depth 0, hash 36c9bb8, HEAD~403
2021-07-04 04:57:23,007 DEBUG                  - depth 1, hash ab84ac9, HEAD~438
2021-07-04 04:57:23,011 DEBUG                  - depth 2, hash 4e43d66, HEAD~680
2021-07-04 04:57:23,015 DEBUG                  - depth 3, hash 39822a4, HEAD~700
2021-07-04 04:57:23,019 DEBUG                  - depth 4, hash 6e8939a, HEAD~760
2021-07-04 04:57:23,023 DEBUG                  - depth 5, hash 5907dac, HEAD~761
2021-07-04 04:57:23,028 DEBUG                  - depth 6, hash ac97422, HEAD~770
2021-07-04 04:57:23,032 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/XmlBeanSerializer.java serialize 106:120
2021-07-04 04:57:23,057 DEBUG                  - depth 0, hash 57e3747, HEAD~51
2021-07-04 04:57:23,063 DEBUG                  - depth 1, hash 36c9bb8, HEAD~403
2021-07-04 04:57:23,067 DEBUG                  - depth 2, hash ab84ac9, HEAD~438
2021-07-04 04:57:23,071 DEBUG                  - depth 3, hash 62b87e1, HEAD~448
2021-07-04 04:57:23,075 DEBUG                  - depth 4, hash b062b0e, HEAD~566
2021-07-04 04:57:23,080 DEBUG                  - depth 5, hash dcff957, HEAD~751
2021-07-04 04:57:23,084 DEBUG                  - depth 6, hash 3800d1a, HEAD~752
2021-07-04 04:57:23,481 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/XmlBeanSerializerBase.java <init> 62:107
2021-07-04 04:57:23,505 DEBUG                  - depth 0, hash eedb6de, HEAD~329
2021-07-04 04:57:23,510 DEBUG                  - depth 1, hash ab84ac9, HEAD~438
2021-07-04 04:57:23,825 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/XmlBeanSerializerModifier.java <init> 24:24
2021-07-04 04:57:23,849 DEBUG                  - depth 0, hash 621128d, HEAD~581
2021-07-04 04:57:23,855 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/XmlBeanSerializerModifier.java changeProperties 36:72
2021-07-04 04:57:23,879 DEBUG                  - depth 0, hash edf7a8b, HEAD~360
2021-07-04 04:57:23,884 DEBUG                  - depth 1, hash ab84ac9, HEAD~438
2021-07-04 04:57:23,888 DEBUG                  - depth 2, hash d54aade, HEAD~525
2021-07-04 04:57:23,892 DEBUG                  - depth 3, hash 4b5c9b7, HEAD~614
2021-07-04 04:57:23,896 DEBUG                  - depth 4, hash 41628fa, HEAD~615
2021-07-04 04:57:23,901 DEBUG                  - depth 5, hash c95e6bf, HEAD~621
2021-07-04 04:57:23,905 DEBUG                  - depth 6, hash b43f0c5, HEAD~635
2021-07-04 04:57:23,909 DEBUG                  - depth 7, hash 1dff468, HEAD~670
2021-07-04 04:57:23,913 DEBUG                  - depth 8, hash e88829a, HEAD~682
2021-07-04 04:57:23,917 DEBUG                  - depth 9, hash 76f1154, HEAD~713
2021-07-04 04:57:23,921 DEBUG                  - depth 10, hash 3800d1a, HEAD~752
2021-07-04 04:57:23,926 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/XmlBeanSerializerModifier.java modifySerializer 74:86
2021-07-04 04:57:23,950 DEBUG                  - depth 0, hash 39822a4, HEAD~700
2021-07-04 04:57:23,955 DEBUG                  - depth 1, hash 76f1154, HEAD~713
2021-07-04 04:57:23,960 DEBUG                  - depth 2, hash 3800d1a, HEAD~752
2021-07-04 04:57:24,321 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/XmlSerializerProvider.java <clinit> 35:35
2021-07-04 04:57:24,347 DEBUG                  - depth 0, hash ac97422, HEAD~770
2021-07-04 04:57:24,352 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/XmlSerializerProvider.java <init> 45:50
2021-07-04 04:57:24,378 DEBUG                  - depth 0, hash 4eb1efd, HEAD~710
2021-07-04 04:57:24,383 DEBUG                  - depth 1, hash 478883d, HEAD~767
2021-07-04 04:57:24,387 DEBUG                  - depth 2, hash ac97422, HEAD~770
2021-07-04 04:57:24,392 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/XmlSerializerProvider.java <init> 39:43
2021-07-04 04:57:24,417 DEBUG                  - depth 0, hash 478883d, HEAD~767
2021-07-04 04:57:24,422 DEBUG                  - depth 1, hash ac97422, HEAD~770
2021-07-04 04:57:24,427 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/XmlSerializerProvider.java _asXmlGenerator 219:232
2021-07-04 04:57:24,452 DEBUG                  - depth 0, hash f4c7bb0, HEAD~270
2021-07-04 04:57:24,457 DEBUG                  - depth 1, hash a6df5db, HEAD~490
2021-07-04 04:57:24,461 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/XmlSerializerProvider.java _initWithRootName 179:204
2021-07-04 04:57:24,487 DEBUG                  - depth 0, hash d2f70a0, HEAD~52
2021-07-04 04:57:24,492 DEBUG                  - depth 1, hash 06c4283, HEAD~54
2021-07-04 04:57:24,497 DEBUG                  - depth 2, hash 2c5f6f4, HEAD~121
2021-07-04 04:57:24,501 DEBUG                  - depth 3, hash ca1c671, HEAD~179
2021-07-04 04:57:24,505 DEBUG                  - depth 4, hash 5cb108d, HEAD~361
2021-07-04 04:57:24,509 DEBUG                  - depth 5, hash a6df5db, HEAD~490
2021-07-04 04:57:24,513 DEBUG                  - depth 6, hash 4795221, HEAD~494
2021-07-04 04:57:24,517 DEBUG                  - depth 7, hash e11f6cb, HEAD~562
2021-07-04 04:57:24,522 DEBUG                  - depth 8, hash 0ad0c49, HEAD~563
2021-07-04 04:57:24,526 DEBUG                  - depth 9, hash e9faaec, HEAD~656
2021-07-04 04:57:24,530 DEBUG                  - depth 10, hash 4eb1efd, HEAD~710
2021-07-04 04:57:24,534 DEBUG                  - depth 11, hash ac97422, HEAD~770
2021-07-04 04:57:24,538 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/XmlSerializerProvider.java _rootNameFromConfig 206:217
2021-07-04 04:57:24,563 DEBUG                  - depth 0, hash 99abd4b, HEAD~288
2021-07-04 04:57:24,568 DEBUG                  - depth 1, hash 4795221, HEAD~494
2021-07-04 04:57:24,573 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/XmlSerializerProvider.java _wrapAsIOE 234:243
2021-07-04 04:57:24,597 DEBUG                  - depth 0, hash 993e0c6, HEAD~125
2021-07-04 04:57:24,603 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/XmlSerializerProvider.java createInstance 73:77
2021-07-04 04:57:24,628 DEBUG                  - depth 0, hash 38e7afe, HEAD~77
2021-07-04 04:57:24,634 DEBUG                  - depth 1, hash 5cb108d, HEAD~361
2021-07-04 04:57:24,638 DEBUG                  - depth 2, hash 4eb1efd, HEAD~710
2021-07-04 04:57:24,642 DEBUG                  - depth 3, hash 865f5f3, HEAD~711
2021-07-04 04:57:24,646 DEBUG                  - depth 4, hash 2985244, HEAD~712
2021-07-04 04:57:24,650 DEBUG                  - depth 5, hash ac97422, HEAD~770
2021-07-04 04:57:24,654 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/XmlSerializerProvider.java serializeValue 79:116
2021-07-04 04:57:24,680 DEBUG                  - depth 0, hash 993e0c6, HEAD~125
2021-07-04 04:57:24,686 DEBUG                  - depth 1, hash b8790f7, HEAD~254
2021-07-04 04:57:24,690 DEBUG                  - depth 2, hash f4c7bb0, HEAD~270
2021-07-04 04:57:24,694 DEBUG                  - depth 3, hash 5cb108d, HEAD~361
2021-07-04 04:57:24,698 DEBUG                  - depth 4, hash 1252cc6, HEAD~483
2021-07-04 04:57:24,702 DEBUG                  - depth 5, hash a6df5db, HEAD~490
2021-07-04 04:57:24,706 DEBUG                  - depth 6, hash 4795221, HEAD~494
2021-07-04 04:57:24,711 DEBUG                  - depth 7, hash e9faaec, HEAD~656
2021-07-04 04:57:24,715 DEBUG                  - depth 8, hash 4eb1efd, HEAD~710
2021-07-04 04:57:24,719 DEBUG                  - depth 9, hash ac97422, HEAD~770
2021-07-04 04:57:25,025 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/util/AnnotationUtil.java findIsAttributeAnnotation 29:46
2021-07-04 04:57:25,049 DEBUG                  - depth 0, hash eb05a1c, HEAD~416
2021-07-04 04:57:25,055 DEBUG                  - depth 1, hash e88829a, HEAD~682
2021-07-04 04:57:25,059 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/util/AnnotationUtil.java findIsCDataAnnotation 67:79
2021-07-04 04:57:25,083 DEBUG                  - depth 0, hash edf7a8b, HEAD~360
2021-07-04 04:57:25,088 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/util/AnnotationUtil.java findIsTextAnnotation 48:65
2021-07-04 04:57:25,112 DEBUG                  - depth 0, hash eb05a1c, HEAD~416
2021-07-04 04:57:25,118 DEBUG                  - depth 1, hash 1dff468, HEAD~670
