2021-07-03 20:24:24,474 INFO     Search BICs for /tmp/Collections-28b/
2021-07-03 20:24:25,434 DEBUG                  - depth 1, hash c57a9af, HEAD~806
2021-07-03 20:24:25,438 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractBitwiseTrie.java isBitSet 110:115
2021-07-03 20:24:25,573 DEBUG                  - depth 0, hash 9aea104, HEAD~711
2021-07-03 20:24:25,578 DEBUG                  - depth 1, hash c57a9af, HEAD~806
2021-07-03 20:24:25,583 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractBitwiseTrie.java lengthInBits 88:94
2021-07-03 20:24:25,717 DEBUG                  - depth 0, hash 9af55b6, HEAD~432
2021-07-03 20:24:25,723 DEBUG                  - depth 1, hash 9aea104, HEAD~711
2021-07-03 20:24:25,727 DEBUG                  - depth 2, hash c57a9af, HEAD~806
2021-07-03 20:24:25,731 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractBitwiseTrie.java <init> 159:162
2021-07-03 20:24:25,866 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:25,872 DEBUG                  - depth 1, hash 467d516, HEAD~380
2021-07-03 20:24:25,876 DEBUG                  - depth 2, hash 9af55b6, HEAD~432
2021-07-03 20:24:25,880 DEBUG                  - depth 3, hash 9aea104, HEAD~711
2021-07-03 20:24:25,884 DEBUG                  - depth 4, hash c57a9af, HEAD~806
2021-07-03 20:24:25,888 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractBitwiseTrie.java getKey 172:175
2021-07-03 20:24:26,023 DEBUG                  - depth 0, hash 5250fdf, HEAD~16
2021-07-03 20:24:26,029 DEBUG                  - depth 1, hash c57a9af, HEAD~806
2021-07-03 20:24:26,033 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractBitwiseTrie.java getValue 177:180
2021-07-03 20:24:26,173 DEBUG                  - depth 0, hash 5250fdf, HEAD~16
2021-07-03 20:24:26,178 DEBUG                  - depth 1, hash c57a9af, HEAD~806
2021-07-03 20:24:26,182 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractBitwiseTrie.java setKeyValue 167:170
2021-07-03 20:24:26,323 DEBUG                  - depth 0, hash 9aea104, HEAD~711
2021-07-03 20:24:26,328 DEBUG                  - depth 1, hash c57a9af, HEAD~806
2021-07-03 20:24:26,332 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractBitwiseTrie.java setValue 182:187
2021-07-03 20:24:26,473 DEBUG                  - depth 0, hash 5250fdf, HEAD~16
2021-07-03 20:24:26,478 DEBUG                  - depth 1, hash 9aea104, HEAD~711
2021-07-03 20:24:26,482 DEBUG                  - depth 2, hash c57a9af, HEAD~806
2021-07-03 20:24:27,039 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java <init> 69:71
2021-07-03 20:24:27,216 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:27,221 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java <init> 49:49
2021-07-03 20:24:27,341 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:27,346 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java addEntry 194:237
2021-07-03 20:24:27,471 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:27,476 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java decrementSize 116:119
2021-07-03 20:24:27,600 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:27,606 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java firstEntry 744:751
2021-07-03 20:24:27,730 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:27,736 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java followLeft 756:770
2021-07-03 20:24:27,860 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:27,865 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java followRight 1162:1174
2021-07-03 20:24:27,993 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:27,998 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java getNearestEntryForKey 455:470
2021-07-03 20:24:28,122 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:28,128 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java getPrefixMapByBits 853:866
2021-07-03 20:24:28,247 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:28,253 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java incrementModCount 124:126
2021-07-03 20:24:28,373 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:28,379 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java incrementSize 108:111
2021-07-03 20:24:28,503 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:28,508 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java isValidUplink 1246:1248
2021-07-03 20:24:28,628 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:28,633 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java nextEntry 609:614
2021-07-03 20:24:28,754 DEBUG                  - depth 0, hash c460996, HEAD~183
2021-07-03 20:24:28,760 DEBUG                  - depth 1, hash 83226e1, HEAD~376
2021-07-03 20:24:28,764 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java nextEntryImpl 649:736
2021-07-03 20:24:28,888 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:28,894 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java nextEntryInSubtree 1235:1241
2021-07-03 20:24:29,019 DEBUG                  - depth 0, hash c460996, HEAD~183
2021-07-03 20:24:29,025 DEBUG                  - depth 1, hash 83226e1, HEAD~376
2021-07-03 20:24:29,029 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java prefixMap 827:830
2021-07-03 20:24:29,154 DEBUG                  - depth 0, hash 5250fdf, HEAD~16
2021-07-03 20:24:29,159 DEBUG                  - depth 1, hash 83226e1, HEAD~376
2021-07-03 20:24:29,163 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java previousEntry 1195:1226
2021-07-03 20:24:29,288 DEBUG                  - depth 0, hash c460996, HEAD~183
2021-07-03 20:24:29,294 DEBUG                  - depth 1, hash 83226e1, HEAD~376
2021-07-03 20:24:29,298 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java put 128:189
2021-07-03 20:24:29,422 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:29,428 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java removeEntry 479:490
2021-07-03 20:24:29,549 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:29,554 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java removeExternalEntry 498:521
2021-07-03 20:24:29,674 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:29,680 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java removeInternalEntry 530:603
2021-07-03 20:24:29,805 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:29,811 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java size 100:103
2021-07-03 20:24:29,935 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:29,941 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java subtree 1097:1147
2021-07-03 20:24:30,062 DEBUG                  - depth 0, hash 9dbf838, HEAD~171
2021-07-03 20:24:30,067 DEBUG                  - depth 1, hash 83226e1, HEAD~376
2021-07-03 20:24:30,072 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java <init> 2272:2272
2021-07-03 20:24:30,196 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:30,202 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java iterator 2287:2302
2021-07-03 20:24:30,321 DEBUG                  - depth 0, hash 9dbf838, HEAD~171
2021-07-03 20:24:30,326 DEBUG                  - depth 1, hash 83226e1, HEAD~376
2021-07-03 20:24:30,330 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java <init> 2360:2367
2021-07-03 20:24:30,450 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:30,456 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java findNext 2378:2381
2021-07-03 20:24:30,576 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:30,581 DEBUG    [single line]   org/apache/commons/collections4/trie/AbstractPatriciaTrie.java next 2346
2021-07-03 20:24:30,701 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:30,706 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java next 2369:2376
2021-07-03 20:24:30,826 DEBUG                  - depth 0, hash 5250fdf, HEAD~16
2021-07-03 20:24:30,832 DEBUG                  - depth 1, hash 83226e1, HEAD~376
2021-07-03 20:24:30,836 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java remove 2383:2407
2021-07-03 20:24:30,956 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:30,962 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java <init> 2100:2100
2021-07-03 20:24:31,081 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:31,087 DEBUG    [single line]   org/apache/commons/collections4/trie/AbstractPatriciaTrie.java access$1400 2092
2021-07-03 20:24:31,206 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:31,212 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java createEntrySet 2231:2234
2021-07-03 20:24:31,331 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:31,337 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java fixup 2123:2159
2021-07-03 20:24:31,457 DEBUG                  - depth 0, hash 136b96c, HEAD~366
2021-07-03 20:24:31,462 DEBUG                  - depth 1, hash 83226e1, HEAD~376
2021-07-03 20:24:31,467 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java <init> 1967:1967
2021-07-03 20:24:31,586 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:31,591 DEBUG    [single line]   org/apache/commons/collections4/trie/AbstractPatriciaTrie.java <init> 1680
2021-07-03 20:24:31,711 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:31,716 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java entrySet 1751:1757
2021-07-03 20:24:31,836 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:31,841 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java <init> 1292:1301
2021-07-03 20:24:31,961 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:31,967 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java isEmpty 1308:1310
2021-07-03 20:24:32,086 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:32,091 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java isExternalNode 1322:1324
2021-07-03 20:24:32,211 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:32,217 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java isInternalNode 1315:1317
2021-07-03 20:24:32,336 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:32,342 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java <init> 1547:1549
2021-07-03 20:24:32,461 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:32,467 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java <init> 1539:1539
2021-07-03 20:24:32,585 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:32,591 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java hasNext 1583:1586
2021-07-03 20:24:32,710 DEBUG                  - depth 0, hash 5250fdf, HEAD~16
2021-07-03 20:24:32,716 DEBUG                  - depth 1, hash 83226e1, HEAD~376
2021-07-03 20:24:32,720 DEBUG    [line range] org/apache/commons/collections4/trie/AbstractPatriciaTrie.java nextEntry 1561:1574
2021-07-03 20:24:32,842 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:33,148 DEBUG    [single line]   org/apache/commons/collections4/trie/KeyAnalyzer.java <init> 35
2021-07-03 20:24:33,284 DEBUG                  - depth 0, hash 467d516, HEAD~380
2021-07-03 20:24:33,289 DEBUG                  - depth 1, hash c57a9af, HEAD~806
2021-07-03 20:24:33,293 DEBUG    [line range] org/apache/commons/collections4/trie/KeyAnalyzer.java compare 137:147
2021-07-03 20:24:33,428 DEBUG                  - depth 0, hash 5250fdf, HEAD~16
2021-07-03 20:24:33,434 DEBUG                  - depth 1, hash 467d516, HEAD~380
2021-07-03 20:24:33,438 DEBUG                  - depth 2, hash c57a9af, HEAD~806
2021-07-03 20:24:33,442 DEBUG    [line range] org/apache/commons/collections4/trie/KeyAnalyzer.java isOutOfBoundsIndex 57:59
2021-07-03 20:24:33,582 DEBUG                  - depth 0, hash 467d516, HEAD~380
2021-07-03 20:24:33,588 DEBUG    [line range] org/apache/commons/collections4/trie/KeyAnalyzer.java isValidBitIndex 79:81
2021-07-03 20:24:33,723 DEBUG                  - depth 0, hash 467d516, HEAD~380
2021-07-03 20:24:34,016 DEBUG    [line range] org/apache/commons/collections4/trie/PatriciaTrie.java <init> 61:63
2021-07-03 20:24:34,146 DEBUG                  - depth 0, hash 83226e1, HEAD~376
2021-07-03 20:24:34,151 DEBUG                  - depth 1, hash 467d516, HEAD~380
2021-07-03 20:24:34,156 DEBUG                  - depth 2, hash 9af55b6, HEAD~432
2021-07-03 20:24:34,160 DEBUG                  - depth 3, hash 2c82062, HEAD~698
2021-07-03 20:24:34,164 DEBUG                  - depth 4, hash 9aea104, HEAD~711
2021-07-03 20:24:34,168 DEBUG                  - depth 5, hash c57a9af, HEAD~806
2021-07-03 20:24:34,172 DEBUG    [single line]   org/apache/commons/collections4/trie/PatriciaTrie.java clear 57
2021-07-03 20:24:34,302 DEBUG                  - depth 0, hash 69aa394, HEAD~282
2021-07-03 20:24:34,307 DEBUG                  - depth 1, hash 83226e1, HEAD~376
2021-07-03 20:24:34,311 DEBUG                  - depth 2, hash c57a9af, HEAD~806
2021-07-03 20:24:34,634 DEBUG    [line range] org/apache/commons/collections4/trie/analyzer/StringKeyAnalyzer.java <clinit> 32:32
2021-07-03 20:24:34,772 DEBUG                  - depth 0, hash c57a9af, HEAD~806
2021-07-03 20:24:34,777 DEBUG    [line range] org/apache/commons/collections4/trie/analyzer/StringKeyAnalyzer.java bitIndex 55:111
2021-07-03 20:24:34,915 DEBUG                  - depth 0, hash 6607ad4, HEAD~281
2021-07-03 20:24:34,921 DEBUG                  - depth 1, hash 467d516, HEAD~380
2021-07-03 20:24:34,925 DEBUG                  - depth 2, hash 9af55b6, HEAD~432
2021-07-03 20:24:34,929 DEBUG                  - depth 3, hash 9aea104, HEAD~711
2021-07-03 20:24:34,933 DEBUG                  - depth 4, hash 4f43347, HEAD~712
2021-07-03 20:24:34,937 DEBUG                  - depth 5, hash c57a9af, HEAD~806
2021-07-03 20:24:34,942 DEBUG    [line range] org/apache/commons/collections4/trie/analyzer/StringKeyAnalyzer.java isBitSet 113:123
2021-07-03 20:24:35,085 DEBUG                  - depth 0, hash 6607ad4, HEAD~281
2021-07-03 20:24:35,090 DEBUG                  - depth 1, hash 9af55b6, HEAD~432
2021-07-03 20:24:35,094 DEBUG                  - depth 2, hash 9aea104, HEAD~711
2021-07-03 20:24:35,099 DEBUG                  - depth 3, hash 12d9e87, HEAD~715
2021-07-03 20:24:35,103 DEBUG                  - depth 4, hash c57a9af, HEAD~806
2021-07-03 20:24:35,107 DEBUG    [single line]   org/apache/commons/collections4/trie/analyzer/StringKeyAnalyzer.java lengthInBits 27
2021-07-03 20:24:35,245 DEBUG                  - depth 0, hash 467d516, HEAD~380
2021-07-03 20:24:35,250 DEBUG                  - depth 1, hash c57a9af, HEAD~806
2021-07-03 20:24:35,255 DEBUG    [line range] org/apache/commons/collections4/trie/analyzer/StringKeyAnalyzer.java lengthInBits 50:53
2021-07-03 20:24:35,398 DEBUG                  - depth 0, hash 6607ad4, HEAD~281
2021-07-03 20:24:35,404 DEBUG                  - depth 1, hash 9aea104, HEAD~711
2021-07-03 20:24:35,408 DEBUG                  - depth 2, hash 4f43347, HEAD~712
2021-07-03 20:24:35,412 DEBUG                  - depth 3, hash c57a9af, HEAD~806
2021-07-03 20:24:35,416 DEBUG    [line range] org/apache/commons/collections4/trie/analyzer/StringKeyAnalyzer.java mask 41:43
2021-07-03 20:24:35,554 DEBUG                  - depth 0, hash 9aea104, HEAD~711
2021-07-03 20:24:35,559 DEBUG                  - depth 1, hash c57a9af, HEAD~806
2021-07-03 20:24:35,564 INFO     The number of BIC candidates: 16
