pid,vid,insertions,deletions
Lang,21,1,1
Lang,22,7,1
Lang,23,31,0
Lang,24,1,1
Lang,25,27,27
Lang,26,1,1
Lang,27,4,1
Lang,28,6,0
Lang,29,1,1
Lang,3,4,0
Lang,30,43,5
Lang,31,8,0
Lang,32,17,8
Lang,33,1,1
Lang,34,2,2
Lang,35,2,2
Lang,36,9,1
Lang,37,8,0
Lang,38,1,0
Lang,39,3,0
Lang,4,4,4
Lang,40,8,1
Lang,41,21,2
Lang,42,7,2
Lang,43,1,0
Lang,44,3,0
Lang,45,3,0
Lang,46,10,7
Lang,47,6,0
Lang,48,4,0
Lang,49,3,0
Lang,5,21,0
Lang,50,6,10
Lang,51,1,0
Lang,52,4,0
Lang,53,2,2
Lang,54,3,0
Lang,55,2,0
Lang,56,6,2
Lang,57,1,1
Lang,58,1,2
Lang,59,1,1
Lang,6,1,1
Lang,60,2,2
Lang,61,1,1
Lang,62,8,0
Lang,63,3,20
Lang,64,21,0
Lang,65,30,0
Lang,7,3,3
Lang,8,1,2
Lang,9,3,0
Math,1,6,0
Math,10,1,0
Math,100,3,3
Math,101,2,1
Math,102,17,0
Math,103,10,0
Math,104,1,1
Math,105,1,1
Math,106,8,0
Math,11,1,1
Math,12,4,1
Math,13,9,0
Math,14,10,4
Math,15,2,1
Math,16,21,2
Math,17,4,0
Math,18,6,4
Math,19,13,0
Math,2,1,1
Math,20,2,1
Math,21,13,10
Math,22,2,2
Math,23,9,2
Math,24,2,2
Math,25,3,0
Math,26,2,2
Math,27,1,1
Math,28,4,0
Math,29,15,4
Math,3,3,0
Math,30,1,1
Math,31,13,33
Math,32,1,1
Math,33,1,1
Math,34,1,1
Math,35,2,2
Math,36,12,0
Math,37,14,2
Math,38,4,4
Math,39,9,0
Math,4,6,0
Math,40,8,2
Math,41,1,1
Math,42,3,1
Math,43,3,3
Math,44,6,1
Math,45,5,0
Math,46,2,2
Math,47,5,3
Math,48,3,0
Math,49,4,4
Math,5,1,1
Math,50,0,4
Math,51,9,0
Math,52,4,3
Math,53,3,0
Math,54,7,1
Math,55,18,1
Math,56,1,7
Math,57,1,1
Math,58,1,1
Math,59,1,1
Math,6,14,16
Math,60,3,10
Math,61,2,2
Math,62,3,4
Math,63,1,1
Math,64,22,8
Math,65,2,7
Math,66,11,22
Math,67,2,2
Math,68,12,2
Math,69,1,1
Math,7,8,9
Math,70,1,1
Math,71,7,0
Math,72,2,2
Math,73,4,0
Math,74,7,4
Math,75,1,1
Math,76,14,8
Math,77,1,10
Math,78,11,0
Math,79,2,2
Math,8,2,2
Math,80,1,1
Math,81,4,3
Math,82,1,1
Math,83,3,3
Math,84,9,0
Math,85,1,1
Math,86,3,3
Math,87,2,4
Math,88,5,6
Math,89,4,0
Math,9,2,1
Math,90,3,0
Math,91,2,2
Math,92,49,6
Math,93,10,2
Math,94,1,1
Math,95,3,1
Math,96,1,1
Math,97,16,2
Math,98,2,2
Math,99,8,0
Mockito,1,12,1
Mockito,10,10,5
Mockito,11,9,1
Mockito,12,4,0
Mockito,13,3,1
Mockito,14,5,1
Mockito,15,3,0
Mockito,16,5,4
Mockito,17,9,2
Mockito,18,2,0
Mockito,19,26,8
Mockito,2,7,0
Mockito,20,3,2
Mockito,21,20,4
Mockito,22,3,1
Mockito,23,18,3
Mockito,24,1,1
Mockito,25,29,6
Mockito,26,1,1
Mockito,27,1,2
Mockito,28,2,1
Mockito,29,1,1
Mockito,3,17,3
Mockito,30,3,2
Mockito,31,3,1
Mockito,32,5,1
Mockito,33,12,1
Mockito,34,1,1
Mockito,35,3,3
Mockito,36,4,0
Mockito,37,8,0
Mockito,38,1,1
Mockito,4,5,2
Mockito,5,1,1
Mockito,6,20,20
Mockito,7,1,0
Mockito,8,1,1
Mockito,9,5,0
Time,1,10,4
Time,10,2,1
Time,11,5,4
Time,12,14,2
Time,13,5,1
Time,14,5,0
Time,15,3,0
Time,16,1,1
Time,17,18,5
Time,18,12,0
Time,19,1,1
Time,2,7,1
Time,20,8,2
Time,22,6,1
Time,23,9,8
Time,24,5,0
Time,25,9,0
Time,26,17,8
Time,27,2,0
Time,3,20,0
Time,4,1,1
Time,5,12,6
Time,6,26,0
Time,7,1,1
Time,8,5,2
Time,9,10,3
